pathway	category
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	Programmed Cell Death
REACTOME_REGULATION_OF_APOPTOSIS	Programmed Cell Death
REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY	Programmed Cell Death
REACTOME_APOPTOTIC_EXECUTION_PHASE	Programmed Cell Death
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	Hemostasis
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	Hemostasis
REACTOME_PLATELET_HOMEOSTASIS	Hemostasis
REACTOME_DISSOLUTION_OF_FIBRIN_CLOT	Hemostasis
REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN	Hemostasis
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	Hemostasis
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	Hemostasis
REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS	Programmed Cell Death
REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE	Programmed Cell Death
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	Programmed Cell Death
REACTOME_TRANSLESION_SYNTHESIS_BY_POLH	DNA Repair
REACTOME_TRANSLESION_SYNTHESIS_BY_POLK	DNA Repair
REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS	DNA Repair
REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR	DNA Repair
REACTOME_PCNA_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR	DNA Repair
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE	Programmed Cell Death
REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS	Programmed Cell Death
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS	Programmed Cell Death
REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA	Programmed Cell Death
REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE	Programmed Cell Death
REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE	Programmed Cell Death
REACTOME_G_PROTEIN_MEDIATED_EVENTS	Signal Transduction
REACTOME_DARPP_32_EVENTS	Signal Transduction
REACTOME_G_PROTEIN_ACTIVATION	Signal Transduction
REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB	Signal Transduction
REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB	Signal Transduction
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	Signal Transduction
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY	Signal Transduction
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY	Neuronal System
REACTOME_CA_DEPENDENT_EVENTS	Signal Transduction
REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE	Neuronal System
REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE	Neuronal System
REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE	Neuronal System
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	Neuronal System
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	Neuronal System
REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION	Neuronal System
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	Neuronal System
REACTOME_GLUTAMATE_BINDING_ACTIVATION_OF_AMPA_RECEPTORS_AND_SYNAPTIC_PLASTICITY	Neuronal System
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	Neuronal System
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	Neuronal System
REACTOME_GABA_RECEPTOR_ACTIVATION	Neuronal System
REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING	Neuronal System
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE	Neuronal System
REACTOME_NEUROTRANSMITTER_CLEARANCE	Neuronal System
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	Neuronal System
REACTOME_TRANSMISSION_ACROSS_ELECTRICAL_SYNAPSES	Neuronal System
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	Neuronal System
REACTOME_POTASSIUM_CHANNELS	Neuronal System
REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES	Neuronal System
REACTOME_SOS_MEDIATED_SIGNALLING	Signal Transduction
REACTOME_MAPK3_ERK1_ACTIVATION	Signal Transduction
REACTOME_MAPK1_ERK2_ACTIVATION	Signal Transduction
REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1	Cell Cycle
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	Cell Cycle
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	Programmed Cell Death
REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA	Programmed Cell Death
REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA	Programmed Cell Death
REACTOME_ARACHIDONATE_PRODUCTION_FROM_DAG	Hemostasis
REACTOME_ARACHIDONATE_PRODUCTION_FROM_DAG	Signal Transduction
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS	Immune System
REACTOME_ACTIVATION_OF_RAS_IN_B_CELLS	Immune System
REACTOME_CALCINEURIN_ACTIVATES_NFAT	Immune System
REACTOME_OAS_ANTIVIRAL_RESPONSE	Immune System
REACTOME_REGULATION_OF_SIGNALING_BY_NODAL	Developmental Biology
REACTOME_SPERM_MOTILITY_AND_TAXES	Reproduction
REACTOME_ACROSOME_REACTION_AND_SPERM:OOCYTE_MEMBRANE_BINDING	Reproduction
REACTOME_INTERACTION_WITH_CUMULUS_CELLS_AND_THE_ZONA_PELLUCIDA	Reproduction
REACTOME_SIGNALING_BY_FGFR2_IN_DISEASE	Disease
REACTOME_SIGNALING_BY_FGFR4_IN_DISEASE	Disease
REACTOME_SIGNALING_BY_FGFR1_IN_DISEASE	Disease
REACTOME_SHC1_EVENTS_IN_ERBB2_SIGNALING	Signal Transduction
REACTOME_GRB7_EVENTS_IN_ERBB2_SIGNALING	Signal Transduction
REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING	Signal Transduction
REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING	Signal Transduction
REACTOME_ERBB2_REGULATES_CELL_MOTILITY	Signal Transduction
REACTOME_ERBB2_ACTIVATES_PTK6_SIGNALING	Signal Transduction
REACTOME_DOWNREGULATION_OF_ERBB2_SIGNALING	Signal Transduction
REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR	Cellular responses to external stimuli
REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING	Signal Transduction
REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING	Signal Transduction
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4	Signal Transduction
REACTOME_DOWNREGULATION_OF_ERBB4_SIGNALING	Signal Transduction
REACTOME_CROSS_PRESENTATION_OF_PARTICULATE_EXOGENOUS_ANTIGENS_PHAGOSOMES	Immune System
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY	Immune System
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	Immune System
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL	Signal Transduction
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_NUCLEUS	Signal Transduction
