NAME	NES	FDR.q.val
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR1	2.0908318	0.062010653
REACTOME_DAP12_INTERACTIONS	2.081464	0.03804999
GO_HISTONE_H3_K9_MODIFICATION	2.070756	0.031011319
REACTOME_ECM_PROTEOGLYCANS	2.0433917	0.0362333
REACTOME_SIGNALING_BY_FGFR1	2.0304546	0.035167195
REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES	2.026265	0.03150166
GO_POSITIVE_REGULATION_OF_ORGANIC_ACID_TRANSPORT	2.0146873	0.031852927
REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE	1.9428204	0.082624316
REACTOME_SIGNALING_BY_FGFR4	1.9339509	0.08368788
KEGG_VIRAL_MYOCARDITIS	1.9227386	0.08643666
GO_CELL_CELL_JUNCTION_ASSEMBLY	1.8946041	0.11401676
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR4	1.8892348	0.11230146
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR3	1.8890395	0.104097925
GO_HISTONE_H3_K9_METHYLATION	1.8888538	0.096800335
GO_PEPTIDYL_LYSINE_METHYLATION	1.8876227	0.091539435
REACTOME_SIGNALING_BY_FGFR3	1.8719848	0.10647507
GO_ARTERY_DEVELOPMENT	1.8619128	0.112617485
GO_REGULATION_OF_STEROID_BIOSYNTHETIC_PROCESS	1.8604622	0.108097434
REACTOME_IRS_MEDIATED_SIGNALLING	1.8464807	0.12193354
REACTOME_SIGNALING_BY_FGFR1_IN_DISEASE	1.837733	0.12700182
GO_HISTONE_METHYLATION	1.8239808	0.14155997
GO_MALE_MEIOTIC_NUCLEAR_DIVISION	1.8193277	0.14230919
GO_CELL_CELL_JUNCTION_ORGANIZATION	1.8153322	0.14255574
GO_CELLULAR_RESPONSE_TO_CAMP	1.8109417	0.14375937
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	1.8091557	0.14121196
KEGG_TGF_BETA_SIGNALING_PATHWAY	1.8090456	0.13592492
GO_RENAL_SYSTEM_PROCESS	1.7994392	0.1447848
GO_RETINA_MORPHOGENESIS_IN_CAMERA_TYPE_EYE	1.7940315	0.14896253
REACTOME_PI_METABOLISM	1.7856973	0.15831321
GO_MICROTUBULE_ANCHORING	1.7804054	0.16216648
GO_POSITIVE_REGULATION_OF_CELL_DIVISION	1.7782518	0.16058354
REACTOME_NEGATIVE_REGULATION_OF_FGFR1_SIGNALING	1.7759448	0.15934023
REACTOME_SIGNALING_BY_TYPE_1_INSULIN_LIKE_GROWTH_FACTOR_1_RECEPTOR_IGF1R	1.7726982	0.1601147
GO_NEGATIVE_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING	1.7696723	0.16059352
GO_HIPPO_SIGNALING	1.7578464	0.17667523
REACTOME_SIGNALING_BY_BMP	1.7550691	0.17640942
GO_DORSAL_VENTRAL_NEURAL_TUBE_PATTERNING	1.7500353	0.17978671
GO_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	1.7469006	0.18055244
