NAME	NES	FDR.q.val
GO_COLLAGEN_FIBRIL_ORGANIZATION	2.4761522	0
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	2.470486	0
GO_CILIUM_MOVEMENT	2.4360688	0
REACTOME_SYNDECAN_INTERACTIONS	2.4197505	0
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	2.4127586	0
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	2.4067552	0
GO_EXTRACELLULAR_STRUCTURE_ORGANIZATION	2.3908012	0
GO_AXONEME_ASSEMBLY	2.3881674	0
REACTOME_COLLAGEN_DEGRADATION	2.3759484	0
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	2.354435	0
REACTOME_COLLAGEN_FORMATION	2.314313	0
GO_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	2.2289522	0.0002816996
KEGG_ECM_RECEPTOR_INTERACTION	2.2047493	0.0002600304
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	2.1909964	0.00032215228
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	2.1727188	0.0003752236
GO_CHONDROCYTE_DEVELOPMENT	2.1726265	0.00035177215
GO_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY	2.168508	0.00033107967
GO_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS	2.1450384	0.0005604724
GO_CHONDROITIN_SULFATE_BIOSYNTHETIC_PROCESS	2.1430347	0.0005309739
GO_COLLAGEN_CATABOLIC_PROCESS	2.1404877	0.0006162051
GO_EXTRACELLULAR_MATRIX_DISASSEMBLY	2.1396654	0.000586862
REACTOME_ECM_PROTEOGLYCANS	2.1258938	0.0007124982
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM	2.1179764	0.000826974
REACTOME_ELASTIC_FIBRE_FORMATION	2.1139615	0.00079251674
REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM	2.0616608	0.0023615262
GO_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE	2.06082	0.0023563884
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	2.0579884	0.0024337142
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	2.057212	0.002346796
GO_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	2.0469754	0.002685722
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS	2.0443099	0.0027444728
GO_MICROTUBULE_BUNDLE_FORMATION	2.0409148	0.002871539
GO_INNER_EAR_MORPHOGENESIS	2.0253236	0.0037920754
GO_CELL_ADHESION_MEDIATED_BY_INTEGRIN	2.0250463	0.0037110907
GO_CHONDROITIN_SULFATE_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS	2.010939	0.00470973
GO_IRON_ION_HOMEOSTASIS	1.9941001	0.00638874
REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES	1.9920763	0.0064585344
GO_CARTILAGE_DEVELOPMENT	1.980188	0.007755237
GO_BONE_MORPHOGENESIS	1.9792718	0.007609204
GO_OSTEOBLAST_DIFFERENTIATION	1.9731668	0.00798351
REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM	1.9560866	0.010789428
