NAME	NES	FDR.q.val
KEGG_RIBOSOME	3.002018	0
REACTOME_NONSENSE_MEDIATED_DECAY_NMD_INDEPENDENT_OF_THE_EXON_JUNCTION_COMPLEX_EJC	2.965026	0
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	2.8724816	0
REACTOME_NONSENSE_MEDIATED_DECAY_NMD	2.8640778	0
REACTOME_SELENOAMINO_ACID_METABOLISM	2.8006735	0
GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	2.7925458	0
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	2.744599	0
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	2.7429438	0
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	2.4499311	0
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	2.4383986	0
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	2.3685038	0
GO_RESPONSE_TO_COPPER_ION	2.367863	0
REACTOME_RRNA_PROCESSING_IN_THE_NUCLEUS_AND_CYTOSOL	2.3648665	0
REACTOME_RRNA_PROCESSING	2.3516908	0
GO_TRANSLATIONAL_INITIATION	2.3509836	0
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	2.3348148	0
REACTOME_INFLUENZA_INFECTION	2.3135343	0
GO_VIRAL_GENE_EXPRESSION	2.2906783	0
GO_CELLULAR_RESPONSE_TO_CADMIUM_ION	2.2802544	0
GO_DETOXIFICATION	2.276634	0
GO_ZINC_ION_HOMEOSTASIS	2.259383	5.3622596e-05
GO_CELLULAR_RESPONSE_TO_COPPER_ION	2.2499712	5.118521e-05
GO_CELLULAR_RESPONSE_TO_ZINC_ION	2.2413528	4.895976e-05
GO_EMBRYONIC_CAMERA_TYPE_EYE_DEVELOPMENT	2.1631913	0.0007802834
GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	2.15639	0.0010144139
GO_TISSUE_REMODELING	2.1042511	0.0030463552
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	2.0776553	0.004560194
