"Dis1"	"Dis2"	"Distance"	"pvalue"	"adj_pvalue"
"FacioscapulohumeralDystrophy"	"MuscularDystrophy_1"	1	0	0
"FacioscapulohumeralDystrophy"	"MuscularDystrophy_3"	1	0	0
"Autism"	"Autism_1"	1	0	0
"AmyotrophicLateralSclerosis"	"AlagilleSyndrome"	1	0	0
"AmyotrophicLateralSclerosis"	"Keratoconus_1"	1	0	0
"MyotonicDystrophy"	"Ischemia"	1	0	0
"MuscularDystrophy"	"Ischemia"	1	0	0
"MuscularDystrophy"	"MuscularDystrophy_1"	1	0	0
"MuscularDystrophy"	"MuscularDystrophy_3"	1	0	0
"MuscularDystrophy"	"MuscularDystrophy_4"	1	0	0
"Ischemia"	"MyotonicDystrophy_1"	1	0	0
"ProstateCancer"	"ProstateCancer_1"	1	0	0
"FacioscapulohumeralDystrophy_1"	"MuscularDystrophy_1"	1	0	0
"FacioscapulohumeralDystrophy_2"	"MuscularDystrophy_1"	1	0	0
"FacioscapulohumeralDystrophy_2"	"MuscularDystrophy_3"	1	0	0
"FacioscapulohumeralDystrophy_3"	"MuscularDystrophy_1"	1	0	0
"FacioscapulohumeralDystrophy_3"	"MuscularDystrophy_3"	1	0	0
"FacioscapulohumeralDystrophy_5"	"MuscularDystrophy_1"	1	0	0
"FacioscapulohumeralDystrophy_5"	"MuscularDystrophy_3"	1	0	0
"LymphocyticColitis_2"	"LymphocyticColitis_3"	1	0	0
"MuscularDystrophy_1"	"MuscularDystrophy_3"	1	0	0
"AlagilleSyndrome"	"AlagilleSyndrome_1"	1	1.40426542205437e-24	5.11767499078867e-24
"ProstateCancer"	"SLE_1"	1	1.40426542205437e-24	5.11767499078867e-24
"MuscularDystrophy_3"	"MuscularDystrophy_4"	1	1.40426542205437e-24	5.11767499078867e-24
"BreastCancer"	"BreastCancer_3"	0.999210850325594	0	0
"ParkinsonsDisease"	"ParkinsonsDisease_7"	0.999037658217314	0	0
"ColorectalCancer"	"ColorectalCancer_3"	0.999034378352342	0	0
"ColorectalCancer_2"	"ColorectalCancer_3"	0.998670081842707	0	0
"BorreliaBurdorferiInfection"	"BorreliaBurdorferiInfection_2"	0.998528778950138	0	0
"BorreliaBurdorferiInfection"	"BorreliaBurdorferiInfection_1"	0.998504546177357	0	0
"ThyroidCancer_Papillary"	"ThyroidCancer_Papillary_3"	0.998500459114791	0	0
"ChronicLymphocyticLeukemia"	"ChronicLymphocyticLeukemia_1"	0.998438896673426	0	0
"ChronicLymphocyticLeukemia"	"ChronicLymphocyticLeukemia_2"	0.998286414549572	0	0
"Glioblastoma"	"Glioblastoma_1"	0.998265745775043	0	0
"ColorectalCancer"	"ColorectalCancer_1"	0.998055671753931	0	0
"ThyroidCancer_Papillary"	"ThyroidCancer_Papillary_1"	0.998024162749186	0	0
"ParkinsonsDisease"	"ParkinsonsDisease_2"	0.99802229311132	0	0
"ParkinsonsDisease"	"ParkinsonsDisease_3"	0.998008216919044	0	0
"ColorectalCancer"	"ColorectalCancer_2"	0.997948193662377	0	0
"ParkinsonsDisease"	"ParkinsonsDisease_10"	0.997860675813115	0	0
"ParkinsonsDisease_3"	"ParkinsonsDisease_7"	0.997761386471825	0	0
"ColorectalCancer"	"ColorectalCancer_5"	0.997667495690062	0	0
