"Dis1"	"Dis2"	"Distance"	"pvalue"	"adj_pvalue"
"MuscularDystrophy"	"Ischemia"	1	0	0
"AlagilleSyndrome"	"AmyotrophicLateralSclerosis"	1	0	0
"Ischemia"	"MyotonicDystrophy"	1	0	0
"HyperplasticPolyps"	"SessileSerratedPolyp"	0.836366454233836	0	0
"CrohnsDisease"	"UlcerativeColitis"	0.81295472297967	0	0
"Ulcer"	"CrohnsDisease"	0.71306967843203	0	0
"AdenomatousPolyps"	"MyotonicDystrophy"	0.650488754212217	2.93163973426908e-98	3.89108546548441e-97
"Ulcer"	"UlcerativeColitis"	0.605670561845009	0	0
"BipolarDisorder"	"HuntingtonsDisease"	0.594145080445393	1.05490365534938e-278	4.20043455493664e-277
"ParkinsonsDisease"	"HuntingtonsDisease"	0.566854608070482	0	0
"MultipleSclerosis"	"HuntingtonsDisease"	0.530797557357084	1.64527969145767e-227	5.76506003886768e-226
"ChronicObstructivePulmonaryDisease"	"AmyotrophicLateralSclerosis"	0.490980746380314	0	0
"Glioblastoma"	"HuntingtonsDisease"	0.486817453459417	0	0
"ParkinsonsDisease"	"Glioblastoma"	0.458736593810193	0	0
"AmyotrophicLateralSclerosis"	"HuntingtonsDisease"	0.45129445844908	7.32940246615525e-147	1.64629655393641e-145
"LymphocyticColitis"	"ColorectalCancer"	0.445814528066564	5.12290855750835e-42	3.16032950449107e-41
"BreastCancer"	"LungCancer"	0.444720797347085	0	0
"BipolarDisorder"	"Schizophrenia"	0.439137002831611	6.93704679699314e-18	2.31059049207832e-17
"Schizophrenia"	"Autism"	0.431103302676886	1.87298531721776e-17	6.14507542278188e-17
"IdiopathicPulmonaryFibrosis"	"LungCancer"	0.426751595264787	0	0
"Smoker"	"CoeliacDisease"	0.418009751208761	9.62775221733723e-28	4.15463593221055e-27
"BipolarDisorder"	"Glioblastoma"	0.409875413425521	0	0
"FamilialDysautonomia"	"HuntingtonsDisease"	0.408605283080779	1.52498608551447e-149	3.51549423923861e-148
"HyperplasticPolyps"	"MyotonicDystrophy"	0.403242761639288	2.28276923575026e-167	6.24908078286635e-166
"LiverCancer"	"LungCancer"	0.400285123176519	0	0
