NAME	NES	FDR.q.val
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	2.671052	0
GO_RESPONSE_TO_FUNGUS	2.6428354	0
REACTOME_INTERFERON_SIGNALING	2.6391306	0
GO_DEFENSE_RESPONSE_TO_OTHER_ORGANISM	2.6023142	0
GO_RESPONSE_TO_TYPE_I_INTERFERON	2.6016705	0
GO_DEFENSE_RESPONSE_TO_FUNGUS	2.4757268	0
REACTOME_NEUTROPHIL_DEGRANULATION	2.4697459	0
GO_DEFENSE_RESPONSE_TO_VIRUS	2.4347801	0
GO_RESPONSE_TO_VIRUS	2.4184191	0
GO_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY	2.4024231	0
GO_NEGATIVE_REGULATION_OF_MULTI_ORGANISM_PROCESS	2.3884757	0
GO_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY	2.3823931	0
REACTOME_INTERFERON_GAMMA_SIGNALING	2.368535	0
GO_ANTIMICROBIAL_HUMORAL_RESPONSE	2.3506944	0
GO_DEFENSE_RESPONSE_TO_BACTERIUM	2.3464043	0
GO_REGULATION_OF_VIRAL_GENOME_REPLICATION	2.3222399	7.7002325e-05
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	2.3101165	7.247278e-05
GO_DNA_PACKAGING	2.2996907	6.844651e-05
GO_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION	2.2958958	0.0001327896
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	2.2792134	0.00012615013
GO_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE	2.2727156	0.00017824658
GO_RESPONSE_TO_INTERFERON_GAMMA	2.2639146	0.00022715822
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	2.2497005	0.0003247357
GO_NEGATIVE_REGULATION_OF_VIRAL_PROCESS	2.245896	0.00036096267
REACTOME_ANTIGEN_PRESENTATION:_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	2.2356431	0.00034652418
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	2.2330022	0.0003331963
GO_ANTIBACTERIAL_HUMORAL_RESPONSE	2.2200418	0.0003658215
GO_REGULATION_OF_VIRAL_LIFE_CYCLE	2.2199726	0.00035275647
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	2.219908	0.00034059244
REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE	2.2082677	0.0004110651
GO_MODIFICATION_OF_MORPHOLOGY_OR_PHYSIOLOGY_OF_OTHER_ORGANISM	2.2050004	0.00039780492
REACTOME_G2_M_CHECKPOINTS	2.2007587	0.00038537354
GO_CHROMATIN_ASSEMBLY	2.1969805	0.00037369554
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	2.196506	0.0003627045
REACTOME_NUCLEOSOME_ASSEMBLY	2.187294	0.00052934693
GO_INTERACTION_WITH_SYMBIONT	2.1836228	0.0005494397
REACTOME_CELL_CYCLE_CHECKPOINTS	2.182201	0.00053459
GO_NUCLEOSOME_ORGANIZATION	2.1786606	0.0005531646
GO_VIRAL_GENOME_REPLICATION	2.1713443	0.00066685554
REACTOME_DNA_METHYLATION	2.164111	0.00074417196
GO_ORGAN_OR_TISSUE_SPECIFIC_IMMUNE_RESPONSE	2.1621926	0.0007260215
GO_MODIFICATION_OF_MORPHOLOGY_OR_PHYSIOLOGY_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION	2.153263	0.0007978455
GO_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM	2.1527658	0.0007792909
GO_REGULATION_OF_SYMBIOSIS_ENCOMPASSING_MUTUALISM_THROUGH_PARASITISM	2.1437504	0.00092975155
REACTOME_MITOTIC_G1_G1_S_PHASES	2.1311653	0.0011015908
GO_NEGATIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE	2.1116734	0.0015903016
GO_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	2.1094825	0.0017143111
GO_RESPONSE_TO_BACTERIUM	2.0933137	0.0019615307
GO_DNA_CONFORMATION_CHANGE	2.0899236	0.0019970173
