source	target	ultrametric_distance	is_ultrametric	distance
Multiple sclerosis	Adenomatous polyps	0.630226479827645	False	0.8612821728818271
Multiple sclerosis	Amyotrophic lateral sclerosis	0.54870654155092	False	0.824073675864687
Multiple sclerosis	Asthma	0.7226712763445969	False	0.9050250720641226
Multiple sclerosis	Autism	0.568897697323114	False	0.851012712538721
Multiple sclerosis	Borrelia burgdorferi infection	0.788698736452215	False	0.96583549178211
Multiple sclerosis	Crohn's disease	0.710433341370512	False	0.896533563500723
Multiple sclerosis	Glioblastoma	0.513183546540583	False	0.6765395551272421
Multiple sclerosis	Huntington's disease	0.46920344264291597	True	0.46920344264291597
Multiple sclerosis	Hyperplastic polyps	0.630226479827645	False	0.85011643140457
Multiple sclerosis	Idiopathic pulmonary fibrosis	0.7005149362522881	False	0.8642597711309811
Multiple sclerosis	Down syndrome	0.8011535984545389	True	0.8011535984545389
Multiple sclerosis	Parkinson's disease	0.46920344264291597	False	0.6281062855533711
Multiple sclerosis	Ulcer	0.710433341370512	False	0.818928349113861
Multiple sclerosis	Schizophrenia	0.560863997168389	False	0.7904585229493201
Multiple sclerosis	Sessile serrated polyps	0.630226479827645	False	0.822782907245383
Multiple sclerosis	Smoker	0.639013028777779	True	0.639013028777779
Multiple sclerosis	Papillary thyroid cancer	0.7332659716316411	False	0.928956256627028
Multiple sclerosis	Ulcerative colitis	0.710433341370512	False	0.884077604814561
Adenomatous polyps	Colorectal cancer	0.6425785163225821	True	0.6425785163225821
Adenomatous polyps	Lymphocytic colitis	0.6425785163225821	False	0.847407362094828
Adenomatous polyps	Muscular dystrophy	0.3495122457877829	False	0.7817812709912351
Adenomatous polyps	Parkinson's disease	0.630226479827645	False	0.847008540960211
Adenomatous polyps	Bipolar disorder	0.630226479827645	False	0.771901601567879
Adenomatous polyps	Ulcer	0.710433341370512	False	0.9181561764782051
Adenomatous polyps	Autism	0.630226479827645	False	0.737639081025341
Adenomatous polyps	Breast cancer	0.7005149362522881	False	0.771048214304772
Adenomatous polyps	Coeliac disease	0.639013028777779	False	0.780051481463422
Adenomatous polyps	Facioscapulohumeral muscular dystrophy	0.78154428804686	False	0.916783407096634
Adenomatous polyps	Familial dysautonomia	0.630226479827645	False	0.699930484081215
Adenomatous polyps	Glioblastoma	0.630226479827645	False	0.864853012485266
Adenomatous polyps	Huntington's disease	0.630226479827645	False	0.889878033561195
Adenomatous polyps	Hyperplastic polyps	0.5967582383607121	False	0.6259628478521321
Adenomatous polyps	Idiopathic pulmonary fibrosis	0.7005149362522881	False	0.881006045062518
Adenomatous polyps	Ischemia	0.3495122457877829	False	0.860994442707249
Adenomatous polyps	Kaposi's sarcoma	0.710433341370512	False	0.9390182089338813
Adenomatous polyps	Lung cancer	0.7005149362522881	False	0.9162974702703829
Adenomatous polyps	Myotonic dystrophy	0.3495122457877829	True	0.3495122457877829
Adenomatous polyps	Post-traumatic stress disorder	0.6474450592711621	True	0.6474450592711621
Adenomatous polyps	Prostate cancer	0.630288769991805	True	0.630288769991805
Adenomatous polyps	Schizophrenia	0.630226479827645	False	0.9202483115674629
Adenomatous polyps	Sessile serrated polyps	0.5967582383607121	False	0.873708428131161
Adenomatous polyps	Papillary thyroid cancer	0.7332659716316411	False	0.952002715753197
Colorectal cancer	Autism	0.6425785163225821	False	0.8946493291325021
Colorectal cancer	Breast cancer	0.7005149362522881	False	0.9329095297164797
Colorectal cancer	Chronic lymphocytic leukemia	0.7383854781658961	False	0.9415563233189137
Colorectal cancer	Parkinson's disease	0.6425785163225821	False	0.9517395734852951
Colorectal cancer	Eosinophilic esophagitis	0.7274547135035511	False	0.9014424997668441
Colorectal cancer	Lymphocytic colitis	0.5541864719334361	True	0.5541864719334361
Colorectal cancer	Ulcer	0.710433341370512	False	0.7702666580968901
Colorectal cancer	Crohn's disease	0.710433341370512	False	0.760701009466405
Colorectal cancer	Facioscapulohumeral muscular dystrophy	0.78154428804686	False	0.9136502281438447
Colorectal cancer	Friedreich's ataxia	0.741283179678167	False	0.9634022797601405
Colorectal cancer	Glioblastoma	0.6425785163225821	False	0.907269131558125
Colorectal cancer	Human immunodeficiency virus infection	0.8201367563298	False	0.834157852773629
Colorectal cancer	Hyperplastic polyps	0.6425785163225821	False	0.9397137713265928
Colorectal cancer	Idiopathic pulmonary fibrosis	0.7005149362522881	False	0.9647159728694089
Colorectal cancer	Ischemia	0.6425785163225821	False	0.8622381723114201
Colorectal cancer	Kaposi's sarcoma	0.710433341370512	False	0.896631280659144
Colorectal cancer	Liver cancer	0.7005149362522881	False	0.8677387374155351
Colorectal cancer	Lung cancer	0.7005149362522881	False	0.858769864376356
Colorectal cancer	Myotonic dystrophy	0.6425785163225821	False	0.896179335319894
Colorectal cancer	Prostate cancer	0.6425785163225821	False	0.866825062336935
Colorectal cancer	Schizophrenia	0.6425785163225821	False	0.871333687710375
Colorectal cancer	Sessile serrated polyps	0.6425785163225821	False	0.822986520702172
Colorectal cancer	Smoker	0.6425785163225821	False	0.836473845533924
Colorectal cancer	Papillary thyroid cancer	0.7332659716316411	False	0.9481011763383357
Colorectal cancer	Ulcerative colitis	0.710433341370512	False	0.7575284475596821
Lymphocytic colitis	Breast cancer	0.7005149362522881	False	0.722375127256707
Lymphocytic colitis	Crohn's disease	0.710433341370512	False	0.83483406489128
Lymphocytic colitis	Friedreich's ataxia	0.741283179678167	False	0.883375340063419
Lymphocytic colitis	Glioblastoma	0.6425785163225821	False	0.9283199801997808
Lymphocytic colitis	Idiopathic pulmonary fibrosis	0.7005149362522881	False	0.8606255313960091
Lymphocytic colitis	Kaposi's sarcoma	0.710433341370512	False	0.7797216128000011
Lymphocytic colitis	Liver cancer	0.7005149362522881	False	0.867786736626291
Lymphocytic colitis	Lung cancer	0.7005149362522881	False	0.830810268406819
Lymphocytic colitis	Eosinophilic esophagitis	0.7274547135035511	True	0.7274547135035511
Lymphocytic colitis	Ulcer	0.710433341370512	False	0.828843587232945
Lymphocytic colitis	Smoker	0.6425785163225821	False	0.9035374942391041
Lymphocytic colitis	Papillary thyroid cancer	0.7332659716316411	False	0.9229861626123086
Lymphocytic colitis	Ulcerative colitis	0.710433341370512	False	0.863366776942763
Muscular dystrophy	Chronic obstructive pulmonary disease	0.630226479827645	False	0.945820503830354
Muscular dystrophy	Crohn's disease	0.710433341370512	False	0.9756017419397935
