source	target	is_metric	distance	metric_distance
Prostate cancer 	Adenomatous polyps 2	False	0.617220929270261	0.4573452787210272
Prostate cancer 	Adenomatous polyps 1	False	0.6763341803609381	0.45333579063869417
Prostate cancer 	Asthma 1	False	0.9252992139261209	0.7762618377145493
Prostate cancer 	Asthma 5	False	0.9540363714226924	0.7577434395139633
Prostate cancer 	Borrelia burgdorferi infection 2	True	0.9656302618138755	0.9656302618138755
Prostate cancer 	Breast cancer 1	False	0.9758538817150609	0.763109148529398
Prostate cancer 	Breast cancer 2	False	0.895624859340742	0.7681512333561469
Prostate cancer 	Breast cancer 3	False	0.9429327738677786	0.747644149485854
Prostate cancer 	Coeliac disease 2	False	0.876281127008842	0.6775870248780194
Prostate cancer 	Colorectal cancer 4	False	0.868378789857265	0.526425720824288
Prostate cancer 	Colorectal cancer 5	False	0.8583953760920571	0.529845088420563
Prostate cancer 	Colorectal cancer 3	False	0.862348799298648	0.526848233014403
Prostate cancer 	Colorectal cancer 2	False	0.8560301536675471	0.5281791511716958
Prostate cancer 	Colorectal cancer 1	False	0.8819835374733781	0.5297601829081299
Prostate cancer 	Familial dysautonomia 2	False	0.81996406681258	0.7108926089902917
Prostate cancer 	Familial dysautonomia 	False	0.810832331447384	0.7079659867384789
Prostate cancer 	Familial dysautonomia 1	False	0.72520305932082	0.704983926537629
Prostate cancer 	Glioblastoma 2	False	0.9519814253950508	0.7060814454925444
Prostate cancer 	Glioblastoma 1	False	0.9334395064660104	0.7114413338488343
Prostate cancer 	Huntington's disease 1	False	0.9648574754910936	0.6221749682465354
Prostate cancer 	Hyperplastic polyps 3	False	0.739993856822121	0.6398107938913613
Prostate cancer 	Hyperplastic polyps 1	False	0.794325378079005	0.6601063199701681
Prostate cancer 	Hyperplastic polyps 4	False	0.7550256812652251	0.6511032862373243
Prostate cancer 	Hyperplastic polyps 2	False	0.7349856778326561	0.6434747982959044
Prostate cancer 	Idiopathic pulmonary fibrosis 1	True	0.733830543391801	0.733830543391801
Prostate cancer 	Idiopathic pulmonary fibrosis 2	False	0.8017350724911151	0.7451171795676029
Prostate cancer 	Kaposi's sarcoma 2	False	0.882997209357427	0.8181211616684877
Prostate cancer 	Kaposi's sarcoma 1	False	0.9150588419193554	0.8123581365648961
Prostate cancer 	Liver cancer 2	False	0.895495902796422	0.851357864458621
Prostate cancer 	Liver cancer 1	False	0.896402079926509	0.850239073970633
Prostate cancer 	Liver cancer 3	False	0.89310421424151	0.854809261489986
Prostate cancer 	Lung cancer 1	False	0.862446808439272	0.8177513823421321
Prostate cancer 	Lung cancer 2	False	0.87069222224458	0.8183629258765832
Prostate cancer 	Parkinson's disease 10	False	0.88747803923195	0.6472484701192324
Prostate cancer 	Parkinson's disease 8	False	0.897059572731695	0.6486912338682913
Prostate cancer 	Parkinson's disease 6	False	0.9138181853392663	0.6500933087502443
Prostate cancer 	Parkinson's disease 9	False	0.892304896455995	0.6481518528277423
Prostate cancer 	Parkinson's disease 7	False	0.8627413456483161	0.6472849781311992
Prostate cancer 	Parkinson's disease 4	False	0.885807840342375	0.6491617591284063
Prostate cancer 	Parkinson's disease 1	False	0.873570182215616	0.6491420916751813
Prostate cancer 	Parkinson's disease 5	False	0.867627382832036	0.6525849586711222
Prostate cancer 	Parkinson's disease 3	False	0.860467298820997	0.6483144194294692
Prostate cancer 	Parkinson's disease 2	False	0.898071525762133	0.6443429294598333
Prostate cancer 	Prostate cancer 2	True	0.02381052380952406	0.02381052380952406
Prostate cancer 	Papillary thyroid cancer 	False	0.87154036149997	0.8157735043338631
Prostate cancer 	Schizophrenia 	False	0.85523983914208	0.5888176492626682
Prostate cancer 	Adenomatous polyps 	False	0.630288769991805	0.4386518876301601
Prostate cancer 	Liver cancer 	False	0.8900544913988	0.8465835460197461
Prostate cancer 	Glioblastoma 	False	0.9411990530080405	0.7097060796238773
Prostate cancer 	Parkinson's disease 	False	0.8801362246031851	0.6463216363485134
Prostate cancer 	Kaposi's sarcoma 	False	0.9030735895156007	0.8151845606193119
Prostate cancer 	Idiopathic pulmonary fibrosis 	False	0.763485560759405	0.7380610302974651
Prostate cancer 	Colorectal cancer 	False	0.866825062336935	0.5278148546620608
Prostate cancer 	Sessile serrated polyps 	False	0.9292090602189568	0.7899730475337674
Prostate cancer 	Hyperplastic polyps 	False	0.7601067797664981	0.6447851746983072
Prostate cancer 	Breast cancer 	False	0.952085349300005	0.7468539998114481
Prostate cancer 	Prostate cancer 1	True	1e-06	1e-06
Prostate cancer 	Lung cancer 	False	0.86153100520432	0.8146657583186111
Prostate cancer 	Schizophrenia 2	False	0.8402169764186911	0.5972084664865983
Prostate cancer 	Systemic lupus erythematosus 1	True	1e-06	1e-06
Prostate cancer 	Papillary thyroid cancer 1	False	0.875832284514177	0.8177503415846772
Prostate cancer 	Papillary thyroid cancer 3	False	0.8739146843251709	0.8172740452190721
Prostate cancer 	Papillary thyroid cancer 2	False	0.857007402986356	0.8134046663948111
Prostate cancer 	Ulcerative colitis 1	False	0.9595732175525821	0.81222740651928
Adenomatous polyps 2	Huntington's disease 1	True	0.832834272980658	0.832834272980658
Adenomatous polyps 2	Bipolar disorder 2	False	0.797153537698699	0.5716309930067415
Adenomatous polyps 2	Facioscapulohumeral muscular dystrophy 2	False	0.55849222427347	0.343061564435313
Adenomatous polyps 2	Idiopathic pulmonary fibrosis 	False	0.917287530714235	0.8869528643945922
Adenomatous polyps 2	Autism 	False	0.812906878056124	0.7038346531744809
Adenomatous polyps 2	Lymphocytic colitis 	False	0.862352599699977	0.5299660713192093
Adenomatous polyps 2	Facioscapulohumeral muscular dystrophy 4	True	0.794342798106287	0.794342798106287
Adenomatous polyps 2	Papillary thyroid cancer 3	True	0.9068445309200185	0.9068445309200185
Adenomatous polyps 2	Myotonic dystrophy 	False	0.3942336189878199	0.34305956443531305
Adenomatous polyps 2	Autism 2	False	0.890737962580619	0.6904026397434679
Adenomatous polyps 2	Asthma 	False	0.9349368352408327	0.7989653119622661
Adenomatous polyps 2	Papillary thyroid cancer 	False	0.9530780845017142	0.9083450718052276
Adenomatous polyps 2	Facioscapulohumeral muscular dystrophy 	False	0.6659027856373011	0.343061564435313
Adenomatous polyps 2	Facioscapulohumeral muscular dystrophy 1	False	0.715591534259329	0.343061564435313
Adenomatous polyps 2	Kaposi's sarcoma 1	False	0.9698699365185879	0.8554537805134956
Adenomatous polyps 2	Glioblastoma 	True	0.86753362127398	0.86753362127398
Adenomatous polyps 2	Asthma 1	True	0.7933836326280651	0.7933836326280651
Adenomatous polyps 2	Idiopathic pulmonary fibrosis 1	False	0.9037161900719225	0.8827223774889281
Adenomatous polyps 2	Facioscapulohumeral muscular dystrophy 5	False	0.5892899213138171	0.343061564435313
Adenomatous polyps 2	Colorectal cancer 	False	0.836330854486385	0.644648288751016
Adenomatous polyps 2	Asthma 5	False	0.856534063619365	0.8119020308286511
Adenomatous polyps 2	Kaposi's sarcoma 2	True	0.849690755409904	0.849690755409904
Adenomatous polyps 2	Kaposi's sarcoma 	False	0.893366751878165	0.8526273564590799
Adenomatous polyps 2	Sessile serrated polyps 	False	0.919586237485525	0.6981327503366712
Adenomatous polyps 2	Coeliac disease 1	False	0.780618869617266	0.719131515988359
Adenomatous polyps 2	Coeliac disease 2	True	0.7171612227416789	0.7171612227416789
Adenomatous polyps 2	Parkinson's disease 	False	0.825808477121107	0.80253957801513
Adenomatous polyps 2	Huntington's disease 	False	0.8839732116694531	0.843129692759387
Adenomatous polyps 2	Adenomatous polyps 	True	0.018693391090867068	0.018693391090867068
Adenomatous polyps 2	Papillary thyroid cancer 1	False	0.9468095807688128	0.9103219090560417
Adenomatous polyps 2	Bipolar disorder 4	False	0.874967017061708	0.7381368591275341
Adenomatous polyps 2	Lymphocytic colitis 1	False	0.8993144391287791	0.5299660713192093
Adenomatous polyps 2	Hyperplastic polyps 	False	0.593032046188617	0.552944877501211
Adenomatous polyps 2	Autism 1	False	0.7324158888705591	0.7038356531744809
Adenomatous polyps 2	Lymphocytic colitis 2	False	0.9118292450576705	0.5299670713192093
Adenomatous polyps 2	Familial dysautonomia 	True	0.6894442704236681	0.6894442704236681
Adenomatous polyps 2	Lung cancer 	False	0.896556002410802	0.88875833802109
Adenomatous polyps 2	Multiple sclerosis 	False	0.9634053360103031	0.8538980482162462
Adenomatous polyps 2	Post-traumatic stress disorder 	False	0.667696611086971	0.6650002712306172
Adenomatous polyps 2	Facioscapulohumeral muscular dystrophy 3	False	0.748107970269088	0.343061564435313
